date,hour_beginning,contract_value,label
5/4/19,23,7.98,actual
5/5/19,0,2.7025,actual
5/5/19,1,0.66,actual
5/5/19,2,0.505,actual
5/5/19,3,0.22,actual
5/5/19,4,0.22,actual
5/5/19,5,0.1125,actual
5/5/19,6,0.4825,actual
5/5/19,7,-0.185,actual
5/5/19,8,-0.07,actual
5/5/19,9,0.01,actual
5/5/19,10,0.74,actual
5/5/19,11,0.855,actual
5/5/19,12,0.9725,actual
5/5/19,13,2.11,actual
5/5/19,14,9.0325,actual
5/5/19,15,12.7475,actual
5/5/19,16,40.7575,actual
5/5/19,17,58.785,actual
5/5/19,18,40.705,actual
5/5/19,19,27.6425,actual
5/5/19,20,18.0575,actual
5/5/19,21,22.06,actual
5/5/19,22,18.3775,actual
5/5/19,23,3.2225,actual
5/6/19,0,-0.4625,actual
5/6/19,1,1.3,actual
5/6/19,2,25.2475,actual
5/6/19,3,18.6175,actual
5/6/19,4,7.205,actual
5/6/19,5,9.7225,actual
5/6/19,6,9.2825,actual
5/6/19,7,5.6625,actual
5/6/19,8,-0.03,actual
5/6/19,9,0,actual
5/6/19,10,46.19,actual
5/6/19,11,8.2175,actual
5/6/19,12,63.115,actual
5/6/19,13,58.0625,actual
5/6/19,14,35.495,actual
5/6/19,15,40.2175,actual
5/6/19,16,45.03,actual
5/6/19,17,57.6525,actual
5/6/19,18,55.21,actual
5/6/19,19,46.36,actual
5/6/19,20,56.8475,actual
5/6/19,21,14.6575,actual
5/6/19,22,19.105,actual
5/6/19,23,22.6325,actual
5/7/19,0,2.1575,actual
5/7/19,1,2.2725,actual
5/7/19,2,1.3375,actual
5/7/19,3,0.59,actual
5/7/19,4,0.495,actual
5/7/19,5,1.2175,actual
5/7/19,6,2.2525,actual
5/7/19,7,0.0925,actual
5/7/19,8,-0.025,actual
5/7/19,9,0.045,actual
5/7/19,10,0.54,actual
5/7/19,11,79.34,actual
5/7/19,12,12.8075,actual
5/7/19,13,54.335,actual
5/7/19,14,61.035,actual
5/7/19,15,75.8175,actual
5/7/19,16,63.43,actual
5/7/19,17,59.6925,actual
5/7/19,18,35.3675,actual
5/7/19,19,1.125,actual
5/7/19,20,4.36,actual
5/7/19,21,-0.9625,actual
5/7/19,22,-0.58,actual
5/7/19,23,-0.005,actual
5/8/19,0,-0.3975,actual
5/8/19,1,-0.9,actual
5/8/19,2,-1.035,actual
5/8/19,3,-0.855,actual
5/8/19,4,-1.075,actual
5/8/19,5,-1.2125,actual
5/8/19,6,-0.9225,actual
5/8/19,7,-0.5575,actual
5/8/19,8,-0.0725,actual
5/8/19,9,-0.0575,actual
5/8/19,10,-0.1575,actual
5/8/19,11,-0.1125,actual
5/8/19,12,-0.23,actual
5/8/19,13,-0.1325,actual
5/8/19,14,0.0725,actual
5/8/19,15,0.5775,actual
5/8/19,16,0.0325,actual
5/8/19,17,-0.0675,actual
5/8/19,18,8.5275,actual
5/8/19,19,30.6,actual
5/8/19,20,40.3375,actual
5/8/19,21,45.45,actual
5/8/19,22,44.37,actual
5/8/19,23,46.4775,actual
5/9/19,0,36.3675,actual
5/9/19,1,31.25,actual
5/9/19,2,32.7075,actual
5/9/19,3,32.415,actual
5/9/19,4,25.3725,actual
5/9/19,5,18.12,actual
5/9/19,6,3.395,actual
5/9/19,7,5.5275,actual
5/9/19,8,2.9375,actual
5/9/19,9,2.9125,actual
5/9/19,10,0.325,actual
5/9/19,11,1.9875,actual
5/9/19,12,6.72,actual
5/9/19,13,8.1875,actual
5/9/19,14,4.7325,actual
5/9/19,15,5.06,actual
5/9/19,16,3.7675,actual
5/9/19,17,3.92,actual
5/9/19,18,4.1825,actual
5/9/19,19,2.4325,actual
5/9/19,20,0.4125,actual
5/9/19,21,0.91,actual
5/9/19,22,0.45,actual
5/9/19,23,0.515,actual
5/10/19,0,0.57,actual
5/10/19,1,0.3625,actual
5/10/19,2,0.155,actual
5/10/19,3,0.0375,actual
5/10/19,4,-0.1125,actual
5/10/19,5,-0.33,actual
5/10/19,6,-0.3375,actual
5/10/19,7,-0.0275,actual
5/10/19,8,-0.39,actual
5/10/19,9,-0.02,actual
5/10/19,10,-0.0225,actual
5/10/19,11,-0.2425,actual
5/10/19,12,-0.39,actual
5/10/19,13,-0.08,actual
5/10/19,14,-0.2075,actual
5/10/19,15,-0.0325,actual
5/10/19,16,-0.3675,actual
5/10/19,17,-0.915,actual
5/10/19,18,-1.4725,actual
5/10/19,19,-1.475,actual
5/10/19,20,-1.47,actual
5/10/19,21,-1.4725,actual
5/10/19,22,-1.47,actual
5/10/19,23,-1.47,actual
5/11/19,0,-1.47,actual
5/11/19,1,-1.4675,actual
5/11/19,2,-1.47,actual
5/11/19,3,-1.465,actual
5/11/19,4,-1.02,actual
5/11/19,5,-0.87,actual
5/11/19,6,-1.465,actual
5/11/19,7,-0.395,actual
5/11/19,8,0,actual
5/11/19,9,0,actual
5/11/19,10,-0.0325,actual
5/11/19,11,-0.0575,actual
5/11/19,12,0,actual
5/11/19,13,-0.0525,actual
5/11/19,14,-0.1025,actual
5/11/19,15,-0.1025,actual
5/11/19,16,-0.105,actual
5/11/19,17,-0.1,actual
5/11/19,18,-0.11,actual
5/11/19,19,0.1475,actual
5/11/19,20,-0.4775,actual
5/11/19,21,-0.2325,actual
5/11/19,22,0.3625,actual
5/11/19,23,-0.2325,actual
5/12/19,0,-0.415,actual
5/12/19,1,-0.4,actual
5/12/19,2,-0.3775,actual
5/12/19,3,-0.7875,actual
5/12/19,4,-0.9225,actual
5/12/19,5,-0.7325,actual
5/12/19,6,-0.3825,actual
5/12/19,7,-0.1675,actual
5/12/19,8,-0.0425,actual
5/12/19,9,-0.2175,actual
5/12/19,10,-0.2125,actual
5/12/19,11,-0.3725,actual
5/12/19,12,-0.1125,actual
5/12/19,13,-0.085,actual
5/12/19,14,-0.3575,actual
5/12/19,15,-1.175,actual
